"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/11 3:36:28 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:36:31 PM GMT+2","Начал действовать безвизовый режим","Да","QA Fest 2017","Selenium Camp","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Синьор (5-10 лет опыта)"
"2017/12/11 3:36:33 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:36:58 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:36:59 PM GMT+2","Начал действовать безвизовый режим","Да","",".NET Fest","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:37:00 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Games Gathering 2017","GameDev Conference 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:37:02 PM GMT+2","Bitcoin по $18K","Да","","Selenium Camp","Нормальный год, все как обычно","Все будет плохо, но вы держитесь","Синьор (5-10 лет опыта)"
"2017/12/11 3:37:20 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:38:07 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Неудачный год, все плохо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:38:22 PM GMT+2","Начал действовать безвизовый режим","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:38:54 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:39:05 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:39:14 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Неудачный год, все плохо","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/11 3:39:42 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:40:15 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:41:15 PM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:41:17 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:41:29 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:41:36 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","ITEM-2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/11 3:41:37 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:42:03 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/11 3:42:08 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:42:12 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/11 3:42:17 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
