"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/09 9:08:19 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 9:10:06 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","IT Weekend Ukraine","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 9:10:42 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","QA Fest 2016","KharkivCSS","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 9:10:44 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Lviv IT Arena 2016","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 9:13:57 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 9:14:00 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:15:00 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","KharkivJS#7","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:15:51 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","WebCamp 2016","Нормальный год, все как обычно","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/09 9:16:55 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:17:38 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 9:19:40 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:22:40 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","","ITEM-2016","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 9:23:36 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/09 9:23:46 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 9:25:59 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:26:17 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/09 9:26:50 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/09 9:30:10 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/09 9:30:27 ДП GMT+2","Появление ""Неприличное.ит""","Да","iForum2016","PyCon Ukraine 2016","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения",""
"2016/12/09 9:32:36 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","QA Fest 2016","IoT Conf UA","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/09 9:33:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
