Ваш возраст?;Ваш пол;Какой ваш общий опыт работы (в целом, не только в ИТ)?;Какой ваш опыт работы в сфере ИТ?;Кем вы работаете? (clean);Сколько человек работает с вами в компании?;Как долго вы искали нынешнее/ последнее место работы? Сколько времени прошло с момента принятия решения о поиске до получения предложения о;Как вы думаете, сколько времени вам нужно, чтобы найти новую работу? Неважно, планируете ли вы сейчас менять работу. Если вы уже ищете работу, отметьте, сколько еще времени это может занять (начиная с нынешнего момента, а не с начала поисков);Планируете ли вы сменить/ найти новую работу в ИТ в ближайшие 12 месяцев?;Вы указали, что планируете/ не отрицаете возможность сменить работу. Как давно вы задумываетесь об этом?;Другое;Хочу больше зарабатывать;Хочу профессионального развития (однообразные/ устаревшие технологии, недостаточно обучения, и т.п.);Не нравятся условия работы (помещение, расположение, оборудование, и т.п.);Не нравится бюрократия, плохая организация работы;Хочу сменить некоторые особенности работы, но не менять направление глобально: например, сменить язык программирования, фреймворк, тип разрабатываемых продуктов, и т.п.;Хочу карьерного продвижения, повышения в должности;Не нравится коллектив;Хочу уехать работать в другую страну;Хочу сменить направление работы: например, перейти из QA в девелоперы или из девелоперов в управление проектами;Компания ненадежна, может прекратить существование;Хочу уйти на фриланс/ основать свою компанию;Работа недостаточно интересная;Много овертаймов;Планируете ли вы найти работу в ИТ в ближайшие 12 месяцев?;Как давно вы задумываетесь о том, чтобы начать работать в ИТ?;Как вы думаете, сколько еще времени может занять поиск работы в ИТ?;Нравятся новые технологии;Хочу больше зарабатывать;В ИТ меньше бюрократии и лучше организована работа;Хочу профессионального развития, обучения новому;Хочу карьерного продвижения, повышения в должности;Работа в ИТ интереснее, чем моя нынешняя работа;У меня профильное образование;Отрасль, в которой я работаю, сейчас в кризисе;Хочу уехать работать заграницу;Другое;Планируя перейти работать в ИТ, вы….;Отслеживать сайты поиска работы и откликаться на вакансии;Пройти курсы или программы обучения при компаниях;Сообщить знакомым, работающим в вашей сфере, о том что вы ищете работу;Опубликовать свое резюме на сайтах поиска работы (в т.ч. анонимных);Обновить/ заполнить профиль в профессиональных сетях/ сообществах;Посещать профильные мероприятия/ конференции/ воркшопы;Связаться напрямую с компаниями, которые вас интересуют (например, через рекрутеров) и сообщить о своей заинтересованности в работе;Участвовать в профильных соревнованиях, хакатонах;Публиковать результаты своей работы на профильных сайтах (github, dou, habrahabr, и т.п.);Написать в соц.сети/ в других открытых источниках о том, что вы ищете работу;Другое;DOU.ua;djinni.co;LinkedIn;Rabota.ua;HeadHunter;GitHub;Work.ua;Habrahabr;StackOverflowCareers;Другое; [...просматривали вакансии, которые могут вас заинтересовать]; [...откликались на вакансию, которую нашли самостоятельно]; [...получали сообщение от рекрутера с предложением обсудить вакансию]; [...откликались на предложение, сделанное компанией/ отвечали на сообщение рекрутера]; [...проходили собеседование с HR-специалистом]; [...проходили собеседование с техническим специалистом/ непосредственным руководителем]; [...получали предложение о работе (job offer), не учитывая ту компанию, где вы работаете сейчас]; [...интересовались у друзей/ знакомых из сферы ИТ о вакансиях в их компаниях];Бесплатные онлайн-курсы ИТ-направления;Бесплатные программы при ИТ-компаниях;Платные ИТ-курсы;Платные онлайн-курсы ИТ-направления;Ни одни курсы из перечисленных;Как вы считаете, насколько прохождение таких курсов помогают при поиске работы в ИТ? [Платные ИТ-курсы];Как вы считаете, насколько прохождение таких курсов помогают при поиске работы в ИТ? [Бесплатные программы при ИТ-компаниях];Как вы считаете, насколько прохождение таких курсов помогают при поиске работы в ИТ? [Бесплатные онлайн-курсы ИТ-направления];Как вы считаете, насколько прохождение таких курсов помогают при поиске работы в ИТ? [Платные онлайн-курсы ИТ-направления];Представьте, что вы увидели вакансию, которая вам очень интересна, но вы не совсем соответствуете указанным обязательным требованиям. Вы...
41-45;Мужчина;10 лет и более;10 лет и более;ТОП-менеджер (CEO, CTO, Director, etc);81-200;Меньше недели;Меньше недели;Не планирую менять работу/ Планирую, но не в ИТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Ни разу;Ни разу;6 и более раз;6 и более раз;Ни разу;Ни разу;3-5 раз;Ни разу;1;1;1;1;0,00;2;4;4;1;Откликнусь, если буду соответствовать хотя бы 90% требований
31-35;Мужчина;10 лет и более;Год и более, но менее 2-х лет;Разработчик;21-80;Месяц и более, но менее 3-х месяцев;Месяц и более, но менее 3-х месяцев;Возможно. Периодически просматриваю вакансии и интересуюсь предложениями, но активно не ищу;Полгода или больше, но менее года;0;1;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;6 и более раз;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;1;0;0;1;0,00;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 70% требований
28-30;Мужчина;5 лет и более, но менее 10-ти лет;2 года и более, но менее 5-ти лет;Разработчик;21-80;Неделя и больше, но менее месяца;Неделя и больше, но менее месяца;Возможно. Периодически просматриваю вакансии и интересуюсь предложениями, но активно не ищу;Меньше недели;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1-2 раза;Трудно сказать;1-2 раза;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;0;0;0;0;1,00;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 70% требований
24-25;Мужчина;2 года и более, но менее 5-ти лет;Менее года;Разработчик;2-20;Неделя и больше, но менее месяца;Месяц и более, но менее 3-х месяцев;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Три месяца или больше, но менее 6-ти месяцев;0;1;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;6 и более раз;Ни разу;1-2 раза;1-2 раза;Ни разу;Ни разу;Трудно сказать;3-5 раз;1;0;0;1;0,00;Трудно сказать;Трудно сказать;4;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 50% требований
28-30;Мужчина;5 лет и более, но менее 10-ти лет;5 лет и более, но менее 10-ти лет;Другое: технический специалист;Более 800;Месяц и более, но менее 3-х месяцев;Три месяца и более, но менее 6-ти месяцев;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Полгода или больше, но менее года;0;1;0;0;0;0;1;0;1;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;6 и более раз;1-2 раза;6 и более раз;1-2 раза;Ни разу;Ни разу;Ни разу;3-5 раз;0;0;1;1;0,00;3;3;3;3;Откликнусь, если буду соответствовать хотя бы 70% требований
24-25;Мужчина;Год и более, но менее 2-х лет;Пока нет опыта работы;;;;;;;;;;;;;;;;;;;;;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Год или больше;Три месяца или больше, но менее 6-ти месяцев;0;0;1;1;0;0;1;0;0;;… планирую сменить род занятий;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;6 и более раз;6 и более раз;1-2 раза;Трудно сказать;Ни разу;Ни разу;Ни разу;6 и более раз;1;0;1;1;0,00;3;4;2;3;Откликнусь, если буду соответствовать хотя бы 50% требований
26-27;Мужчина;10 лет и более;2 года и более, но менее 5-ти лет;Тестировщик (QA);201-800;Месяц и более, но менее 3-х месяцев;Месяц и более, но менее 3-х месяцев;Возможно. Периодически просматриваю вакансии и интересуюсь предложениями, но активно не ищу;Три месяца или больше, но менее 6-ти месяцев;0;1;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;6 и более раз;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;1-2 раза;0;0;1;0;0,00;4;2;2;3;В любом случае откликнусь на вакансию
26-27;Мужчина;5 лет и более, но менее 10-ти лет;Год и более, но менее 2-х лет;Тестировщик (QA);21-80;Меньше недели;Неделя и больше, но менее месяца;Возможно. Периодически просматриваю вакансии и интересуюсь предложениями, но активно не ищу;Месяц или больше, но менее 3-х месяцев;0;1;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;6 и более раз;Ни разу;1-2 раза;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;1;0;1;1;0,00;3;3;3;3;Откликнусь, если буду соответствовать хотя бы 50% требований
36-40;Мужчина;10 лет и более;5 лет и более, но менее 10-ти лет;Другое: не технический специалист;21-80;Три месяца и более, но менее 6-ти месяцев;Месяц и более, но менее 3-х месяцев;Возможно, если сделают интересное предложение. По своей инициативе не ищу;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3-5 раз;Ни разу;3-5 раз;1-2 раза;Ни разу;Ни разу;Ни разу;Ни разу;1;0;0;1;0,00;3;3;2;2;Откликнусь, если буду соответствовать хотя бы 90% требований
36-40;Мужчина;10 лет и более;10 лет и более;Менеджер проекта;21-80;Полгода и более, но менее года;Не уверен, что вообще смогу ее найти;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Полгода или больше, но менее года;0;1;0;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6 и более раз;3-5 раз;3-5 раз;6 и более раз;Ни разу;Ни разу;Ни разу;3-5 раз;1;0;1;1;0,00;4;2;3;4;Откликнусь, если буду соответствовать хотя бы 70% требований
21-23;Мужчина;Менее года;Менее года;Разработчик;2-20;Неделя и больше, но менее месяца;Месяц и более, но менее 3-х месяцев;Не планирую менять работу/ Планирую, но не в ИТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;3-5 раз;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;0;0;0;0;1,00;2;4;2;2;Откликнусь, если буду соответствовать хотя бы 50% требований
31-35;Мужчина;10 лет и более;Менее года;Другое: технический специалист;21-80;Три месяца и более, но менее 6-ти месяцев;Три месяца и более, но менее 6-ти месяцев;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Три месяца или больше, но менее 6-ти месяцев;0;1;1;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;6 и более раз;1-2 раза;3-5 раз;3-5 раз;3-5 раз;1-2 раза;Ни разу;Ни разу;1;0;0;1;0,00;2;4;4;4;Откликнусь, если буду соответствовать хотя бы 70% требований
24-25;Женщина;5 лет и более, но менее 10-ти лет;Год и более, но менее 2-х лет;Тестировщик (QA);2-20;Неделя и больше, но менее месяца;Месяц и более, но менее 3-х месяцев;Не планирую менять работу/ Планирую, но не в ИТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;1;0;1;1;0,00;2;5;2;1;Откликнусь, если буду соответствовать хотя бы 90% требований
21-23;Мужчина;Менее года;Менее года;Разработчик;2-20;Неделя и больше, но менее месяца;Месяц и более, но менее 3-х месяцев;Не планирую менять работу/ Планирую, но не в ИТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1-2 раза;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;0;0;0;0;1,00;1;3;4;1;Откликнусь, если буду соответствовать хотя бы 90% требований
31-35;Мужчина;10 лет и более;Пока нет опыта работы;;;;;;;;;;;;;;;;;;;;;Да, активно ищу работу (откликаюсь на вакансии, рассылаю резюме);Год или больше;Месяц или больше, но менее 3-х месяцев;1;1;1;0;0;0;0;0;0;;… планирую сменить род занятий;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;6 и более раз;3-5 раз;3-5 раз;3-5 раз;3-5 раз;1-2 раза;Ни разу;6 и более раз;1;0;1;1;0,00;3;4;2;2;Откликнусь, если буду соответствовать хотя бы 50% требований
24-25;Мужчина;2 года и более, но менее 5-ти лет;2 года и более, но менее 5-ти лет;Владелец компании, предприниматель;2-20;Месяц и более, но менее 3-х месяцев;Три месяца и более, но менее 6-ти месяцев;Возможно, если сделают интересное предложение. По своей инициативе не ищу;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;0;0;1;0;0,00;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 50% требований
26-27;Мужчина;10 лет и более;2 года и более, но менее 5-ти лет;Другое: технический специалист;2-20;Не искал/ искал меньше месяца;Неделя и больше, но менее месяца;Возможно. Периодически просматриваю вакансии и интересуюсь предложениями, но активно не ищу;Месяц или больше, но менее 3-х месяцев;0;0;1;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1-2 раза;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;0;1;0;0;0,00;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 70% требований
26-27;Мужчина;5 лет и более, но менее 10-ти лет;5 лет и более, но менее 10-ти лет;Разработчик;201-800;Не искал/ искал меньше месяца;Меньше недели;Не планирую менять работу/ Планирую, но не в ИТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;Ни разу;Ни разу;6 и более раз;Ни разу;Ни разу;Ни разу;Ни разу;Ни разу;0;0;0;0;1,00;1;2;3;1;Откликнусь, если буду соответствовать хотя бы 70% требований
24-25;Женщина;Год и более, но менее 2-х лет;Пока нет опыта работы;;;;;;;;;;;;;;;;;;;;;Возможно. Периодически просматриваю вакансии и интересуюсь пред;Год или больше;Полгода или больше, но менее года;1;0;0;1;0;1;0;0;0;;… планирую сменить род занятий;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;1;1;0;1;0,00;Трудно сказать;Трудно сказать;Трудно сказать;Трудно сказать;Откликнусь, если буду соответствовать хотя бы 70% требований
